date,nav
2023-06-16,100000.0
2023-06-23,100000.0
2023-06-30,100000.0
2023-07-07,100038.02904000001
2023-07-14,100736.02904
2023-07-21,102245.22904
2023-07-28,101635.09478000001
2023-08-04,101367.89478000002
2023-08-11,101159.87958000001
2023-08-18,101159.87958000001
2023-08-25,101326.36138000003
2023-09-01,102257.06138000003
2023-09-08,103323.96138000002
2023-09-15,103596.36138000003
2023-09-22,103891.46138000002
2023-09-29,100176.38619000003
2023-10-06,100176.38619000003
2023-10-13,100176.38619000003
2023-10-20,100708.86717000003
2023-10-27,100752.66717000003
2023-11-03,100993.56717000002
2023-11-10,99767.16717000003
2023-11-17,100161.36717000003
2023-11-24,99204.78940500002
2023-12-01,98075.33850500002
2023-12-08,98288.538505
2023-12-15,99589.93850500001
2023-12-22,100334.13850500001
2023-12-29,100748.73850500002
2024-01-05,100246.338505
2024-01-12,101143.538505
2024-01-19,101431.73850500002
2024-01-26,102224.97044500001
2024-02-02,103491.23590000001
2024-02-09,106533.53590000002
2024-02-16,106533.53590000002
2024-02-23,109131.23590000001
2024-03-01,109021.73590000003
2024-03-08,110703.93590000001
2024-03-15,108260.391275
2024-03-22,110008.99127500001
2024-03-29,110211.43336000001
2024-04-05,107353.91745500002
2024-04-12,108690.69639000001
2024-04-19,110042.23658000003
2024-04-26,110042.23658000003
2024-05-03,109951.77123000003
2024-05-10,111498.28662000003
2024-05-17,110976.39634000004
2024-05-24,108219.21858000004
2024-05-31,108118.14854000004
2024-06-07,109157.98791500006
2024-06-14,108738.57891500008
2024-06-21,109798.76685500008
2024-06-28,110588.96550500009
2024-07-05,111215.96550500009
2024-07-12,110674.46550500009
2024-07-19,110816.96550500009
2024-07-26,109839.65063000008
2024-08-02,109839.65063000008
2024-08-09,109839.65063000008
2024-08-16,109152.14613500009
2024-08-23,109925.79846000008
2024-08-30,110103.99846000009
2024-09-06,110054.49846000009
2024-09-13,110985.09846000008
2024-09-20,111499.89846000008
2024-09-27,111283.6200900001
2024-10-04,111283.6200900001
2024-10-11,111283.6200900001
2024-10-18,111283.6200900001
2024-10-25,111283.6200900001
2024-11-01,111969.9340150001
2024-11-08,111035.90175000009
2024-11-15,105128.67480000007
2024-11-22,107124.67480000008
2024-11-29,109819.27480000007
2024-12-06,112114.67480000008
2024-12-13,112913.07480000007
2024-12-20,109410.14478500007
2024-12-27,111256.34478500007
2025-01-03,108617.22620500009
2025-01-10,109985.2262050001
2025-01-17,110597.22620500009
2025-01-24,112019.22620500009
2025-01-31,111731.22620500009
2025-02-07,115655.22620500009
2025-02-14,118985.2262050001
2025-02-21,118319.22620500009
2025-02-28,116087.22620500009
2025-03-07,117563.22620500009
2025-03-14,120209.22620500009
2025-03-21,122027.22620500009
2025-03-28,124979.22620500009
2025-04-04,127787.22620500009
2025-04-11,131009.22620500009
2025-04-18,136589.22620500007
2025-04-25,135635.22620500007
2025-05-02,134573.22620500007
2025-05-09,135653.22620500007
2025-05-16,129641.1843050001
2025-05-23,130382.3843050001
2025-05-30,130338.78430500011
2025-06-06,130425.98430500009
2025-06-13,129514.60766000013
2025-06-20,127893.00593000013
2025-06-27,127010.30098000013
2025-07-04,128479.19712000014
2025-07-11,129058.29712000012
2025-07-18,128019.96611000012
2025-07-25,129767.98188000014
2025-08-01,127817.51413000014
2025-08-08,128991.71974000013
2025-08-15,129285.54198000014
2025-08-22,128924.78560000012
2025-08-29,131204.1856000001
2025-09-05,130285.10096000013
2025-09-12,130988.60096000013
2025-09-19,129619.51659500008
2025-09-26,132117.4165950001
2025-10-03,134116.4165950001
2025-10-10,137547.21659500012
2025-10-17,143464.4165950001
2025-10-24,141261.9165950001
2025-10-31,142637.69390000013
2025-11-07,143830.5121750001
2025-11-14,142870.7072950001
2025-11-21,139341.9415250001
2025-11-28,138649.08585500007
2025-12-05,138835.08585500007
2025-12-12,139583.08585500007
2025-12-19,140180.28585500008
2025-12-26,143023.48585500006
2026-01-02,139599.39003500005
2026-01-09,141810.99003500005
2026-01-16,143824.99003500005
2026-01-23,149600.99003500008
2026-01-30,152580.19003500007
2026-02-06,147624.99003500005
2026-02-13,149281.79003500007
2026-02-20,149281.79003500007
2026-02-27,152002.59003500006
2026-03-06,151546.59003500006
2026-03-13,149672.47411500005
2026-03-20,149672.47411500005
2026-03-27,149672.47411500005
2026-04-03,149672.47411500005
2026-04-10,149672.47411500005
2026-04-17,149672.47411500005
2026-04-24,150015.64455500006
2026-05-01,152803.34455500008
2026-05-08,148193.1745250001
2026-05-15,147171.2176400001
2026-05-22,147171.2176400001
2026-05-29,147171.2176400001
2026-06-05,147171.2176400001
2026-06-12,147171.2176400001
2026-06-19,146691.54988000012
2026-06-26,142380.1942600001
2026-07-03,142380.1942600001
2026-07-10,142380.1942600001
