date,action,code,exec_price,shares,commission
2023-07-07,买入,513500,1.497,33400,7.5
2023-07-07,买入,518880,4.369,11400,7.47
2023-07-28,卖出,518880,4.406,11400,7.53
2023-08-04,卖出,513500,1.514,33400,7.59
2023-08-18,买入,518880,4.424,22800,15.13
2023-09-29,卖出,518880,4.398,22800,15.04
2023-10-20,买入,518880,4.572,21900,15.02
2023-11-10,卖出,518880,4.521,21900,14.85
2023-12-01,买入,513500,1.547,32000,7.43
2023-12-01,买入,518880,4.67,10600,7.43
2024-01-05,卖出,513500,1.583,32000,7.6
2024-01-12,买入,513500,1.622,30800,7.49
2024-01-19,卖出,518880,4.644,10600,7.38
2024-02-02,买入,518880,4.661,7200,5.03
2024-02-09,卖出,518880,4.636,7200,5.01
2024-03-01,买入,518880,4.728,7300,5.18
2024-04-05,卖出,513500,1.804,30800,8.33
2024-04-05,买入,510300,3.341,10800,5.41
2024-04-12,卖出,510300,3.253,10800,5.27
2024-04-12,买入,510880,2.882,19100,8.26
2024-04-19,卖出,518880,5.445,7300,5.96
2024-04-19,卖出,510880,3.019,19100,8.65
2024-05-03,买入,513180,0.538,104300,8.42
2024-05-03,买入,510300,3.431,16300,8.39
2024-05-10,卖出,513180,0.526,104300,8.23
2024-05-24,卖出,510300,3.392,16300,8.29
2024-05-24,买入,513500,1.832,30100,8.27
2024-05-24,买入,510880,2.957,18600,8.25
2024-05-31,卖出,513500,1.823,30100,8.23
2024-06-07,卖出,510880,2.972,18600,8.29
2024-06-07,买入,513500,1.887,29200,8.27
2024-06-07,买入,518880,5.252,10500,8.27
2024-06-14,卖出,518880,5.3,10500,8.35
2024-06-21,买入,518880,5.302,10500,8.35
2024-06-28,卖出,518880,5.295,10500,8.34
2024-07-19,卖出,513500,1.952,29200,8.55
2024-08-16,买入,518880,5.504,20400,16.84
2024-09-27,卖出,518880,5.642,20400,17.26
2024-11-01,买入,518880,6.013,19100,17.23
2024-11-08,卖出,518880,5.899,19100,16.9
2024-11-08,买入,513180,0.628,180200,16.97
2024-11-15,卖出,513180,0.6,180200,16.22
2024-11-15,买入,513500,2.07,51800,16.08
2024-12-20,卖出,513500,2.173,51800,16.88
2024-12-20,买入,510880,2.977,37600,16.79
2025-01-03,卖出,510880,2.956,37600,16.67
2025-01-17,买入,513500,2.205,25500,8.43
2025-01-17,买入,518880,6.093,9200,8.41
2025-02-07,卖出,513500,2.177,25500,8.33
2025-02-28,卖出,518880,6.443,9200,8.89
2025-03-07,买入,513180,0.828,69400,8.62
2025-03-07,买入,510300,3.828,15000,8.61
2025-03-14,卖出,510300,3.905,15000,8.79
2025-03-14,买入,518880,6.676,8500,8.51
2025-03-21,卖出,513180,0.774,69400,8.06
2025-05-16,卖出,518880,7.204,8500,9.19
2025-05-16,买入,510880,2.965,39300,17.48
2025-07-18,卖出,510880,3.081,39300,18.16
2025-07-18,买入,513500,2.145,18800,6.05
2025-07-18,买入,513180,0.76,53300,6.08
2025-07-18,买入,510300,4.016,10000,6.02
2025-07-25,卖出,513180,0.767,53300,6.13
2025-07-25,买入,510880,3.141,13000,6.12
2025-08-01,卖出,510300,3.997,10000,6.0
2025-08-01,卖出,510880,3.05,13000,5.95
2025-08-01,买入,513180,0.734,82500,9.08
2025-08-08,卖出,513500,2.182,18800,6.15
2025-08-08,卖出,513180,0.738,82500,9.13
2025-08-08,买入,518880,7.454,8100,9.06
2025-08-08,买入,510300,4.062,14900,9.08
2025-08-15,卖出,518880,7.396,8100,8.99
2025-08-15,买入,513500,2.212,18400,6.11
2025-08-22,卖出,513500,2.194,18400,6.06
2025-08-22,买入,513180,0.783,53000,6.22
2025-09-05,卖出,513180,0.768,53000,6.11
2025-09-12,卖出,510300,4.497,14900,10.05
2025-09-12,买入,518880,7.91,15900,18.87
2025-10-24,卖出,518880,8.946,15900,21.34
2025-10-24,买入,513500,2.386,29900,10.7
2025-10-24,买入,510300,4.687,15200,10.69
2025-11-07,卖出,513500,2.402,29900,10.77
2025-11-07,买入,510880,3.187,22300,10.66
2025-11-14,卖出,510300,4.605,15200,10.5
2025-11-21,卖出,510880,3.108,22300,10.4
2025-11-28,买入,513500,2.465,28400,10.5
2025-11-28,买入,518880,9.148,7600,10.43
2026-01-02,卖出,513500,2.434,28400,10.37
2026-01-02,卖出,518880,9.419,7600,10.74
2026-01-09,买入,513500,2.463,28600,10.57
2026-01-09,买入,510300,4.772,14700,10.52
2026-01-16,卖出,513500,2.443,28600,10.48
2026-01-16,买入,518880,9.964,7000,10.46
2026-01-23,卖出,510300,4.71,14700,10.39
2026-02-06,卖出,518880,10.718,7000,11.25
2026-02-06,买入,510880,3.128,45500,21.35
2026-03-27,卖出,510880,3.26,45500,22.25
2026-04-24,买入,510880,3.272,46100,22.63
2026-05-08,卖出,510880,3.259,46100,22.54
2026-06-19,买入,513500,2.572,58400,22.53
2026-06-26,卖出,513500,2.489,58400,21.8
